X座標,Y座標
172447.22,2542145.32
172619.41,2542390.5
168750.9,2543333.72
168891.98,2543086.88
172166.35,2542915.76
172364.03,2542576.42
171707.51,2542302.97
171594.24,2542426.59
172764.82,2542974.25
171049.68,2541783.48
171335.49,2541966.48
171221.9,2542028.65
172536.11,2542821.6
172623.36,2543159.58
171226.57,2542920.65
170855.2,2542707.32
172703.55,2542144
170608.62,2544554.37
169495.46,2544098.82
171850.41,2542394.47
170459.55,2543293.91
171062.43,2544213.55
170572.48,2543108.7
171567.82,2542826.62
170286.52,2542894.93
170432.19,2543509.34
169492.66,2543575.91
169407.59,2543637.83
169837.44,2544127.78
169410.39,2544160.74
169410.23,2544130.07
169381.89,2544160.9
169381.73,2544130.22
169267.99,2544161.51
169268.32,2544223.08
171277.2,2541720.71
170397.34,2542309.84
170168.36,2542095.66
170793.01,2541723.25
171049.2,2541691.12
169798.6,2542189.99
169995.97,2541819.72
169568.8,2541822
170521.82,2544308.65
170948.21,2544152.58
170511.58,2544524.1
169772.39,2542620.81
170029.21,2542711.69
170029.21,2542711.58
171070.12,2540245.27
170137.74,2541695.93
170166.89,2541818.81
170251.82,2541726.11
170308.5,2541664.24
170165.83,2541618.93
170194.1,2541572.6
170221.85,2541449.41
169149.29,2543270.11
171427.33,2543196.46
171427.33,2543196.46
170489.25,2543539.82
170517.75,2543539.56
170036.66,2542703.9
166553.87,2543684.51
166374.28,2544226.27
166455.85,2543738.21
164831.03,2544019.32
165266.04,2544454.19
166084.47,2542613.24
166577.32,2543604.43
166451.1,2543437.13
163968.65,2544479.5
163981.06,2544606.79
164716.55,2543881.54
166201.97,2543550.48
162800.37,2544317.57
165121.47,2543216.22
165846.36,2544039.4
165168.12,2543906.34
164446.38,2544096.81
166169.88,2544249.78
164327.46,2544277.45
163873.82,2543191.97
165911.15,2543102.26
164243.73,2544175.82
163677.28,2543837.3
162332.8,2544079.19
162299.37,2543674.17
162817.87,2544630.65
163664.95,2544849.69
163520.92,2544764.14
166284.33,2542801.83
162069.63,2543976.96
164763.22,2544374.31
165069.4,2544543.9
165003.09,2544076.82
164181.58,2543023.21
166537.63,2543029.88
162770.45,2544161.15
163724.96,2544750.01
165567.87,2543742.29
166352.02,2542896.25
165543.6,2542815.27
164688.81,2543166.39
165512.65,2543294.08
163843.82,2541927.55
164459.87,2544628.64
164704.84,2544637.1
166464.36,2543942.38
164742.6,2544406.76
164048.21,2544695
168322.6,2541798.59
167584.81,2541891.09
169157.91,2541591.75
169358.67,2541453.9
166710.85,2542704
166928.89,2543196.05
166776.15,2541645.48
166924.71,2541640.68
167249.72,2543086.53
167354.86,2541863.23
166597.18,2540917.56
166814.05,2540153.89
167318.42,2542116.26
167102.52,2542161.63
167225.51,2542356.3
169186.34,2542418.4
166389.6,2541910.42
169199.46,2541652.32
168322.59,2541722.06
166964.55,2542337.37
168343.75,2541935.68
165834.64,2537264.38
166684.29,2540314.19
166239.07,2542682.92
168430.67,2542251.38
167332.2,2540162.33
167203.59,2540087.51
167355.59,2540706.73
168964.58,2542422.7
169011.25,2540767.28
165774.74,2538182.23
169207.8,2541888.38
167681.81,2542247.27
166552.55,2541580.05
166564.27,2541528.6
166510.1,2541395.46
166523.16,2541271.79
166506.55,2541105.66
166530.79,2541020.14
166398.54,2541284.78
166309.38,2541128.57
166367.57,2541045.3
166528.07,2540695.9
166409.03,2540570.98
166372.62,2540495.1
166671.3,2540431.32
166696,2540262.52
166444.82,2540237.33
166133.37,2537142.12
166335.08,2541601.75
167243.61,2542591.31
167442.71,2543128.1
169616.47,2538728.25
166034.8,2535853.17
166442.62,2536660
165644.96,2536800.43
166540.28,2536715.49
166591.16,2537346.67
166943.99,2537510.95
166796.79,2536337.55
166583.16,2542884
165086.81,2540072.28
168265.48,2541742.08
166637.08,2544268.23
169182.59,2544161.97
166668.08,2543683.55
168180.42,2543183.1
166535.35,2544410.32
169140,2544192.98
169182.76,2544192.75
167462.82,2544755.82
168008.36,2543368.53
167763.14,2543431.45
168496.51,2543692.02
168001.06,2544229.94
168407.17,2542966.47
168181.59,2543398.38
167143.87,2543711.7
166960.18,2543980.28
166071.51,2544975.82
166755.49,2544562.81
167070.17,2543269.14
165682.98,2544759.6
166336.11,2544423.72
167333.66,2544572.03
166880.96,2545097.46
166759.23,2543683.04
166081.08,2544652.72
166538.83,2545037.78
166238.81,2544845.65
161128.87,2547777.42
166809.3,2549555.21
170938.01,2551478.97
170854.78,2551495.36
168361.96,2549305.14
167089.07,2547827.59
161279.84,2551050.85
166225.37,2549894.68
166197.83,2549862.94
168733.98,2548640.32
170957.61,2551406.67
166780.33,2549450.71
170957.61,2551406.67
170967.98,2551487.68
168926.77,2548012.91
163801.78,2549004.73
166809.3,2549555.21
168413.49,2549281.27
164343.94,2552066.84
169544.71,2550110.95
169385.83,2549934.28
169372.77,2548724.8
169714.62,2552005.09
165348.39,2551726.13
165793.04,2552184.87
160611.25,2551872.58
167515.67,2549094.48
165770.62,2550348.18
160371.77,2548426.47
170183.3,2552192.85
169651.53,2549697.85
169473.29,2549426.6
169585.43,2549678.83
165958.06,2550055.31
166220.26,2549695.37
166055.2,2550417.13
166272.55,2550085.45
167867.74,2549228.21
168451.17,2550576.11
167568.44,2548289.52
166735.43,2549449.63
169803.11,2552014.69
160296.18,2548796.04
167306.3,2548410.13
169119.78,2547843.31
168500.65,2548670.66
168675.97,2548488.03
168908.09,2548199.17
168544.03,2547898.14
168564.24,2548109.67
169745.95,2551405.69
167228.25,2548159.61
167270.24,2549045.11
167256.66,2547622.23
168050.46,2547196.94
167834.34,2547508.21
169974.95,2552224.85
167937.59,2547531.89
166733.17,2547565.22
164014.36,2551758.31
167929.08,2548936.29
167971.36,2548908.7
168256,2548648.45
167625.56,2549097.65
160209.41,2548581.15
171631.66,2551989.07
165723.94,2551467.97
167348.83,2551940.43
171179.46,2550274.03
170889.09,2550325.5
166397.13,2548735.11
166924.92,2548022.3
167005.9,2547819.08
166904.95,2547802.92
169412.77,2548271.42
169104.17,2544259.62
168101.75,2544852.54
169395.24,2544947.88
167972.06,2544927.78
168047.91,2544944.87
169196.22,2545647.41
169362.93,2544925.68
170716.77,2544863.77
169612.64,2545821.48
169302.35,2544623.34
170545.19,2544656.92
170363.21,2545332.31
167879.98,2544849.77
170460.53,2545919.4
170005.59,2546037.1
169940.23,2545487.94
169204.38,2545355.67
171306.35,2544450.59
168322.95,2546826.01
168240.67,2545985.36
167335.64,2545826.08
170814.28,2544672.45
170468.75,2545962.1
169738.12,2546130.22
168935.49,2545623.01
168969.15,2546427.49
168988.22,2546844.76
169108.53,2546611.9
168228.86,2545019.52
168551.15,2559920.34
168674.09,2546098.4
168544.36,2546750.39
167790.18,2546350.51
167576.62,2545877.36
166807.92,2545866.54
166282.92,2545419.72
166203.66,2545196.79
168145.86,2545253.2
170014.49,2545995.86
166904.39,2546257.04
168094.74,2544920.91
169697,2545839.08
169486.62,2545739.31
167849.55,2546633.24
168080.75,2546736.52
168803.55,2546873.24
167680.05,2546212.68
167806.71,2545942.88
167623.44,2545740.89
168151.43,2546332.25
168330.7,2546667.5
168505.25,2546248.49
167443.78,2546476.99
169675.72,2545176.61
169605.85,2545990.06
166699.89,2545334.9
168500.33,2545606.87
168066.62,2545668.25
168336.23,2546648.42
170676.32,2544911.05
168566.01,2542078.44
168367.67,2542092.7
174380.76,2570325.49
174062.3,2570592.57
174458.71,2571004.08
170295.25,2537491.86
174251.14,2541430.26
171906.76,2541694.29
172278.13,2541609.31
172396.26,2541908.37
172754.5,2541782.94
172935.37,2541659.53
174258.9,2541321.36
174267.42,2541058.19
174265.54,2541010.58
174315.52,2541101.7
174304.8,2541049.26
174296.27,2541005
173255.88,2540486.24
172460.22,2541684.89
161319.72,2576199.18
172378.46,2544835.72
174036.95,2546751.39
171440.88,2546984.13
171971.94,2548361.66
171718.76,2544450.03
170828.84,2546208.16
170652.79,2546414.18
170838.3,2546545.21
170911.39,2546798.43
171005.92,2548711.02
171147.08,2544830.72
174280.85,2548749.29
173657.78,2547697.73
174223.49,2545588.54
174044.6,2545628.54
174236,2545283.49
174013.99,2544906.76
171883.61,2549448.29
172333.89,2546466.97
172642.3,2544370.12
172810.41,2546041.47
170980.75,2546830.84
171837.49,2546711.96
173082.11,2544206.74
194476.33,2557638.35
190439.49,2582616.89
190411.25,2582715.35
190320.54,2582939.53
174360.39,2557978.78
168359.71,2558418.35
165870.14,2563329.48
165789.65,2563616.77
180838.36,2568493.9
180413.84,2575404.77
180156.26,2575086.37
180154.53,2575065.45
164050.11,2566777.24
173500.36,2565521.55
174125.41,2564483.66
174374.87,2564533.11
177293.37,2559610.54
177078.96,2558762.07
178829.67,2557020.72
178353.88,2553623.53
175050.42,2557564.67
175192.92,2557383.67
175537.29,2557568.99
176327.92,2557560.42
176293.03,2557298.58
176294.74,2556898.89
176233.7,2555757.65
176304.92,2555845.9
175972.71,2555330.59
177247.55,2555983.59
177090.41,2555501.85
176883.46,2555037.4
176526.61,2554491.64
176383.64,2557187.16
175304.67,2556010.66
174492.18,2556998.48
174686.15,2556930.39
174801.63,2554817.04
174979.07,2554898.55
174247.71,2557189.97
173700.85,2554767.69
178545.77,2556472.46
179942.92,2578824.58
178293.84,2578790.94
178413,2578748.29
177950.61,2578503.45
180615.62,2579672.05
180905.36,2579383.64
181132.71,2579598.87
197302.87,2564044.8
197502.05,2564234.24
166240.71,2569916.96
165683.17,2570738.98
165482.28,2570938.8
165846.94,2569801.23
166110.75,2569068.14
177220.99,2536324.3
176789.1,2536441.23
176993.36,2535896.39
176598.32,2536357.88
176247.69,2536227.25
176851.14,2535824.88
177007.83,2536808.93
177112.16,2536983.51
176701.84,2536869.55
176033.93,2536627.63
175863.34,2536394.36
175785.34,2536428.63
175577.09,2535925.24
175791.27,2535841.01
176187.74,2535672.74
182369.32,2539706.24
181259.3,2540963.4
175273.71,2579547.1
175445.21,2579664.29
175558.79,2580061.19
175437.4,2579352.36
175031.14,2579574.24
175744.81,2580586.74
175353.93,2579513.25