車站,lat,lng
A1(台北車站),25.048808,121.514055
A2(三重站),25.054662,121.482899
A3(新北產業園區站),25.061712,121.45889
A4(新莊副都心站),25.059207,121.445721
A5(泰山站),25.053206,121.43947
A6(泰山貴和站),25.033189,121.422686
A7(體育大學站),25.041837,121.385466
A8(長庚醫院站),25.060472,121.370829
A9(林口站),25.065795,121.361308
A10(山鼻站),25.080827,121.284789
A11(坑口站),25.086422,121.266531
A12(機場第一航廈站),25.081838,121.239749
A13(機場第二航廈站),25.076772,121.231548
A14(機場第三航廈站),25.07298,121.226678
A14a(機場旅館站),25.069641,121.221078
A15(大園站),25.055994,121.210512
A16(橫山站),25.036667,121.215664
A17(領航站),25.024129,121.221027
A18(高鐵桃園站),25.013794,121.214223
A19(桃園體育園區站),25.001803,121.203302
A20(興南站),24.980184,121.216278
A21(環北站),24.967479,121.220688